"date","symbol","market_cap"
2022-01-31,"ASII.JK",2.21647e+14
2022-01-31,"UNVR.JK",1.53745e+14
2022-01-31,"ARTO.JK",2.2497e+14
2022-01-31,"BBCA.JK",9.30573e+14
2022-01-31,"BBNI.JK",1.35235e+14
2022-01-31,"BBRI.JK",6.10677e+14
2022-01-31,"BMRI.JK",3.45345e+14
2022-01-31,"TLKM.JK",4.15071e+14
2021-12-31,"TPIA.JK",1.58424e+14
2021-12-31,"ASII.JK",2.30756e+14
2021-12-31,"UNVR.JK",1.56797e+14
2021-12-31,"ARTO.JK",2.19483e+14
2021-12-31,"BBCA.JK",8.90909e+14
2021-12-31,"BBNI.JK",1.2462e+14
2021-12-31,"BBRI.JK",6.16678e+14
2021-12-31,"BMRI.JK",3.24555e+14
2021-12-31,"EMTK.JK",1.39631e+14
2021-12-31,"TLKM.JK",4.00211e+14
2021-11-30,"TPIA.JK",1.53017e+14
2021-11-30,"ASII.JK",2.33793e+14
2021-11-30,"UNVR.JK",1.70912e+14
2021-11-30,"ARTO.JK",2.17082e+14
2021-11-30,"BBCA.JK",8.87858e+14
2021-11-30,"BBNI.JK",1.25543e+14
2021-11-30,"BBRI.JK",6.13678e+14
2021-11-30,"BMRI.JK",3.234e+14
2021-11-30,"EMTK.JK",1.17805e+14
2021-11-30,"TLKM.JK",3.95258e+14
2021-10-31,"TPIA.JK",1.64372e+14
2021-10-31,"ASII.JK",2.43913e+14
2021-10-31,"HMSP.JK",1.19226e+14
2021-10-31,"UNVR.JK",1.68623e+14
2021-10-31,"ARTO.JK",2.05765e+14
2021-10-31,"BBCA.JK",9.03113e+14
2021-10-31,"BBNI.JK",1.26466e+14
2021-10-31,"BBRI.JK",6.34684e+14
2021-10-31,"BMRI.JK",3.31485e+14
2021-10-31,"TLKM.JK",3.6653e+14
2021-09-30,"TPIA.JK",1.64372e+14
2021-09-30,"ASII.JK",2.43913e+14
2021-09-30,"HMSP.JK",1.19226e+14
2021-09-30,"UNVR.JK",1.68623e+14
2021-09-30,"ARTO.JK",2.05765e+14
2021-09-30,"BBCA.JK",9.03113e+14
2021-09-30,"BBNI.JK",1.26466e+14
2021-09-30,"BBRI.JK",6.34684e+14
2021-09-30,"BMRI.JK",3.31485e+14
2021-09-30,"TLKM.JK",3.6653e+14
2021-08-31,"TPIA.JK",1.39993e+14
2021-08-31,"ASII.JK",2.11527e+14
2021-08-31,"UNVR.JK",1.54508e+14
2021-08-31,"ARTO.JK",2.08166e+14
2021-08-31,"BBCA.JK",7.99377e+14
2021-08-31,"BBRI.JK",4.79902e+14
2021-08-31,"BMRI.JK",2.8182e+14
2021-08-31,"DCII.JK",1.20856e+14
2021-08-31,"EMTK.JK",1.32799e+14
2021-08-31,"TLKM.JK",3.36812e+14
2021-07-31,"TPIA.JK",1.67635e+14
2021-07-31,"ASII.JK",1.91082e+14
2021-07-31,"UNVR.JK",1.60993e+14
2021-07-31,"ARTO.JK",2.46232e+14
2021-07-31,"BBCA.JK",7.28593e+14
2021-07-31,"BBRI.JK",4.53037e+14
2021-07-31,"BMRI.JK",2.6334e+14
2021-07-31,"DCII.JK",1.40641e+14
2021-07-31,"EMTK.JK",1.68293e+14
2021-07-31,"TLKM.JK",3.20962e+14
2021-06-30,"TPIA.JK",1.75214e+14
2021-06-30,"ASII.JK",1.99989e+14
2021-06-30,"HMSP.JK",1.41326e+14
2021-06-30,"UNVR.JK",1.88843e+14
2021-06-30,"ARTO.JK",1.86903e+14
2021-06-30,"BBCA.JK",7.35305e+14
2021-06-30,"BBRI.JK",4.81123e+14
2021-06-30,"BMRI.JK",2.7258e+14
2021-06-30,"EMTK.JK",1.52994e+14
2021-06-30,"TLKM.JK",3.12046e+14
2021-05-31,"TPIA.JK",1.41331e+14
2021-05-31,"ASII.JK",2.12539e+14
2021-05-31,"HMSP.JK",1.47724e+14
2021-05-31,"UNVR.JK",2.23178e+14
2021-05-31,"ARTO.JK",1.6667e+14
2021-05-31,"BBCA.JK",7.7802e+14
2021-05-31,"BBRI.JK",5.20199e+14
2021-05-31,"BMRI.JK",2.772e+14
2021-05-31,"EMTK.JK",1.43814e+14
2021-05-31,"TLKM.JK",3.40774e+14
2021-04-30,"TPIA.JK",1.79673e+14
2021-04-30,"ASII.JK",2.2266e+14
2021-04-30,"HMSP.JK",1.5354e+14
2021-04-30,"UNVR.JK",2.289e+14
2021-04-30,"ARTO.JK",1.39235e+14
2021-04-30,"BBCA.JK",7.81681e+14
2021-04-30,"BBRI.JK",4.94555e+14
2021-04-30,"BMRI.JK",2.85285e+14
2021-04-30,"EMTK.JK",1.37082e+14
2021-04-30,"TLKM.JK",3.16999e+14
2021-03-31,"TPIA.JK",1.98398e+14
2021-03-31,"ASII.JK",2.13551e+14
2021-03-31,"HMSP.JK",1.59937e+14
2021-03-31,"UNVR.JK",2.50836e+14
2021-03-31,"ARTO.JK",1.33405e+14
2021-03-31,"BBCA.JK",7.58493e+14
2021-03-31,"BBRI.JK",5.37294e+14
2021-03-31,"BMRI.JK",2.8413e+14
2021-03-31,"EMTK.JK",1.38918e+14
2021-03-31,"TLKM.JK",3.38793e+14
2021-02-28,"TPIA.JK",1.73877e+14
2021-02-28,"ASII.JK",2.18611e+14
2021-02-28,"HMSP.JK",1.55285e+14
2021-02-28,"UNVR.JK",2.6705e+14
2021-02-28,"BBCA.JK",8.18904e+14
2021-02-28,"BBRI.JK",5.75149e+14
2021-02-28,"BMRI.JK",2.8413e+14
2021-02-28,"BRIS.JK",1.19422e+14
2021-02-28,"EMTK.JK",1.19087e+14
2021-02-28,"TLKM.JK",3.45727e+14
2021-01-31,"TPIA.JK",1.81456e+14
2021-01-31,"ASII.JK",2.4695e+14
2021-01-31,"ICBP.JK",1.06123e+14
2021-01-31,"HMSP.JK",1.52377e+14
2021-01-31,"UNVR.JK",2.64189e+14
2021-01-31,"BBCA.JK",8.25006e+14
2021-01-31,"BBRI.JK",5.1043e+14
2021-01-31,"BMRI.JK",3.03765e+14
2021-01-31,"EMTK.JK",1.07235e+14
2021-01-31,"TLKM.JK",3.08083e+14
2024-02-29,"BMRI.JK",653333110980608
2024-02-29,"TLKM.JK",396248817336320
2024-02-29,"ASII.JK",211526803783680
2024-02-29,"BREN.JK",809405310304256
2024-02-29,"TPIA.JK",396222678433792
2024-02-29,"AMMN.JK",616404646625280
2024-02-29,"BYAN.JK",649999343943680
2024-03-28,"BREN.JK",719099730591744
2024-03-28,"BBCA.JK",1241995691425792
2024-03-28,"ASII.JK",208490530340864
2024-03-28,"TLKM.JK",343745828487168
2024-03-28,"BBNI.JK",219576176476160
2024-03-28,"BYAN.JK",633332656242688
2024-03-28,"BBRI.JK",912285547626496
2024-03-28,"AMMN.JK",634534240452608
2024-03-28,"BMRI.JK",676666393231360
2024-03-28,"TPIA.JK",503929485918208
2023-09-30,"BYAN.JK",6.29167e+14
2023-09-30,"AMMN.JK",4.26102e+14
2023-09-30,"TPIA.JK",2.18874e+14
2023-09-30,"ASII.JK",2.5201e+14
2023-09-30,"UNVR.JK",1.42681e+14
2023-09-30,"BBCA.JK",1.077023e+15
2023-09-30,"BBNI.JK",1.90622e+14
2023-09-30,"BBRI.JK",7.83977e+14
2023-09-30,"BMRI.JK",5.5671e+14
2023-09-30,"TLKM.JK",3.71483e+14
2020-12-31,"TPIA.JK",1.61839e+14
2020-12-31,"ASII.JK",2.43913e+14
2020-12-31,"ICBP.JK",1.11663e+14
2020-12-31,"HMSP.JK",1.75059e+14
2020-12-31,"UNVR.JK",2.80403e+14
2020-12-31,"TLKM.JK",3.27896e+14
2020-12-31,"BBCA.JK",8.26226e+14
2020-12-31,"BBNI.JK",1.14004e+14
2020-12-31,"BBRI.JK",5.09209e+14
2020-12-31,"BMRI.JK",2.92215e+14
2023-11-30,"BYAN.JK",6.425e+14
2023-11-30,"AMMN.JK",5.22131e+14
2023-11-30,"TPIA.JK",2.55209e+14
2023-11-30,"ASII.JK",2.18611e+14
2023-11-30,"BBCA.JK",1.09533e+15
2023-11-30,"BBNI.JK",1.94776e+14
2023-11-30,"BBRI.JK",7.91479e+14
2023-11-30,"BMRI.JK",5.4054e+14
2023-11-30,"TLKM.JK",3.72474e+14
2023-11-30,"BREN.JK",9.1978e+14
2023-10-31,"BYAN.JK",6.075e+14
2023-10-31,"AMMN.JK",4.70683e+14
2023-10-31,"TPIA.JK",2.57804e+14
2023-10-31,"ASII.JK",2.33793e+14
2023-10-31,"BBCA.JK",1.06787e+15
2023-10-31,"BBNI.JK",1.76868e+14
2023-10-31,"BBRI.JK",7.44215e+14
2023-10-31,"BMRI.JK",5.2437e+14
2023-10-31,"TLKM.JK",3.45727e+14
2023-10-31,"BREN.JK",6.12741e+14
2023-12-29,"BREN.JK",1000050385747968
2023-12-29,"ASII.JK",228732325330944
2023-12-29,"AMMN.JK",474994190581760
2023-12-29,"BBCA.JK",1158784995033088
2023-12-29,"BBRI.JK",863639137419264
2023-12-29,"TPIA.JK",454185376022528
2023-12-29,"BBNI.JK",200255282872320
2023-12-29,"BMRI.JK",564666463944704
2023-12-29,"TLKM.JK",391295713411072
2023-12-29,"BYAN.JK",663332667260928
2024-01-31,"ASII.JK",207478444785664
2024-01-31,"BREN.JK",662240738934784
2024-01-31,"BBCA.JK",1177276305637376
2024-01-31,"TLKM.JK",392286307352576
2024-01-31,"BBNI.JK",213993725624320
2024-01-31,"BBRI.JK",859867753480192
2024-01-31,"BYAN.JK",656666005602304
2024-01-31,"BMRI.JK",620666462142464
2024-01-31,"TPIA.JK",467162116390912
2024-01-31,"AMMN.JK",545699418603520
